"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Jun 1986","345,70","343,40","352,00","334,70","19,98K","0,46%"
"May 1986","344,10","341,10","345,30","339,00","26,65K","-0,61%"
"Abr 1986","346,20","332,50","348,70","328,00","12,91K","4,56%"
"Mar 1986","331,10","336,20","350,90","330,50","15,63K","-2,33%"
"Feb 1986","339,00","346,50","355,40","329,00","10,54K","-2,81%"
"Ene 1986","348,80","327,00","364,00","327,00","17,87K","6,02%"
"Dic 1985","329,00","324,00","328,20","313,00","15,97K","1,89%"
"Nov 1985","322,90","325,00","332,00","322,70","23,30K","-0,55%"
"Oct 1985","324,70","321,70","330,60","321,00","5,93K","0,59%"
"Sep 1985","322,80","327,00","329,70","317,00","3,32K","-3,12%"
"Ago 1985","333,20","325,00","342,20","318,50","10,99K","1,86%"
"Jul 1985","327,10","309,00","329,70","309,00","34,95K","3,61%"
"Jun 1985","315,70","317,50","328,20","309,80","11,10K","-0,16%"
"May 1985","316,20","315,00","325,00","309,80","20,37K","0,54%"
"Abr 1985","314,50","321,00","334,00","315,00","11,64K","-4,58%"
"Mar 1985","329,60","286,40","341,00","286,40","36,77K","14,84%"
"Feb 1985","287,00","303,00","305,50","281,20","11,42K","-5,62%"
"Ene 1985","304,10","303,30","308,00","298,00","29,51K","-1,23%"
"Dic 1984","307,90","328,70","334,50","304,70","14,36K","-6,44%"
"Nov 1984","329,10","343,20","350,00","327,50","46,93K","-1,35%"
"Oct 1984","333,60","346,00","349,50","333,80","6,05K","-3,28%"
"Sep 1984","344,90","340,00","349,50","334,50","8,50K","-1,00%"
"Ago 1984","348,40","338,20","358,00","336,50","22,08K","3,17%"
"Jul 1984","337,70","370,30","371,30","332,00","68,34K","-9,42%"
"Jun 1984","372,80","389,50","398,00","368,00","9,37K","-3,62%"
"May 1984","386,80","377,10","388,50","369,50","33,81K","2,84%"
"Abr 1984","376,10","387,80","391,00","376,10","12,50K","-2,94%"
"Mar 1984","387,50","393,50","405,50","385,00","36,51K","-2,10%"
"Feb 1984","395,80","378,50","401,50","375,10","10,92K","5,89%"
"Ene 1984","373,80","381,00","381,00","363,50","32,51K","-2,93%"
"Dic 1983","385,10","400,50","404,00","372,00","14,42K","-4,44%"
"Nov 1983","403,00","377,00","408,80","374,20","60,94K","7,12%"
"Oct 1983","376,20","392,00","404,00","375,50","4,08K","-6,39%"
"Sep 1983","401,90","415,50","418,50","397,00","9,79K","-3,02%"
"Ago 1983","414,40","412,50","427,50","405,50","9,86K","0,39%"
"Jul 1983","412,80","416,50","430,30","409,80","52,82K","-0,65%"
"Jun 1983","415,50","415,00","424,80","396,20","13,64K","0,85%"
"May 1983","412,00","429,00","445,00","410,00","39,67K","-4,25%"
"Abr 1983","430,30","417,00","446,00","417,00","13,87K","3,46%"
"Mar 1983","415,90","411,00","441,00","405,00","47,32K","3,85%"
"Feb 1983","400,50","508,50","514,00","396,00","68,76K","-21,49%"
"Ene 1983","510,10","492,00","511,00","490,00","35,78K","13,38%"
"Dic 1982","449,90","439,50","459,50","431,10","9,61K","1,65%"
"Nov 1982","442,60","416,00","443,50","416,00","53,20K","5,46%"
"Oct 1982","419,70","403,00","454,50","385,00","27,33K","5,32%"
"Sep 1982","398,50","412,20","496,00","390,50","31,57K","-2,47%"
"Ago 1982","408,60","354,00","430,50","330,50","21,98K","19,23%"
"Jul 1982","342,70","310,50","366,50","309,00","88,62K","8,86%"
"Jun 1982","314,80","319,00","337,50","295,00","22,91K","-2,30%"
"May 1982","322,20","345,50","345,50","321,50","40,56K","-5,98%"
"Abr 1982","342,70","327,50","370,00","322,80","14,47K","4,64%"
"Mar 1982","327,50","322,50","328,00","316,40","51,04K","-9,15%"
"Feb 1982","360,50","380,10","386,80","359,00","24,69K","-6,27%"
"Ene 1982","384,60","394,70","405,00","368,00","39,88K","-3,66%"
"Dic 1981","399,20","403,00","428,50","394,00","24,59K","-2,23%"
"Nov 1981","408,30","428,10","431,00","394,00","44,02K","-4,38%"
"Oct 1981","427,00","436,00","459,00","424,00","7,15K","-1,32%"
"Sep 1981","432,70","421,70","466,00","417,50","6,62K","1,81%"
"Ago 1981","425,00","390,00","439,00","387,50","24,40K","5,33%"
"Jul 1981","403,50","423,30","425,50","394,20","49,73K","-4,72%"
"Jun 1981","423,50","481,00","485,50","422,50","19,61K","-11,66%"
"May 1981","479,40","488,00","492,00","464,00","39,44K","-0,93%"
"Abr 1981","483,90","513,50","535,00","468,00","14,08K","-5,82%"
"Mar 1981","513,80","467,00","553,00","453,00","29,73K","6,71%"
"Feb 1981","481,50","494,00","519,50","480,00","19,52K","-4,03%"
"Ene 1981","501,70","584,30","599,50","485,00","51,69K","-15,15%"
"Dic 1980","591,30","636,00","638,50","539,00","31,36K","-5,33%"
"Nov 1980","624,60","648,00","659,00","585,00","44,96K","-1,79%"
"Oct 1980","636,00","682,00","694,00","620,00","15,43K","-5,29%"
"Sep 1980","671,50","639,70","727,00","635,50","48,93K","5,75%"
"Ago 1980","635,00","620,00","649,00","600,00","14,27K","2,47%"
"Jul 1980","619,70","662,90","691,00","604,00","51,30K","-4,28%"
"Jun 1980","647,40","567,00","658,50","550,00","26,51K","18,75%"
"May 1980","545,20","490,60","552,00","478,00","25,70K","8,69%"
"Abr 1980","501,60","504,00","562,00","465,00","23,19K","0,02%"
"Mar 1980","501,50","631,00","648,50","453,00","57,00K","-20,52%"
"Feb 1980","631,00","677,00","729,00","599,00","49,35K","-7,41%"
"Ene 1980","681,50","562,50","875,00","558,00","179,39K","27,72%"
