"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Jun 2006","613,50","642,80","645,10","555,00","6,22K","-4,51%"
"May 2006","642,50","658,00","723,00","638,00","56,56K","-1,43%"
"Abr 2006","651,80","582,00","642,00","582,00","8,19K","12,03%"
"Mar 2006","581,80","562,50","589,60","540,00","28,94K","3,60%"
"Feb 2006","561,60","571,60","575,30","535,50","10,30K","-1,61%"
"Ene 2006","570,80","518,60","572,70","518,60","42,03K","10,38%"
"Dic 2005","517,10","494,20","538,50","490,10","12,28K","4,55%"
"Nov 2005","494,60","463,00","502,30","455,30","48,42K","6,34%"
"Oct 2005","465,10","467,80","478,50","460,50","2,17K","-0,83%"
"Sep 2005","469,00","438,50","474,00","438,50","11,75K","8,11%"
"Ago 2005","433,80","430,00","449,50","429,10","3,00K","0,91%"
"Jul 2005","429,90","423,50","430,50","423,50","44,50K","-1,38%"
"Jun 2005","435,90","416,40","442,50","414,00","6,99K","4,71%"
"May 2005","416,30","416,50","420,20","413,20","58,88K","-4,30%"
"Abr 2005","435,00","428,30","438,20","422,70","2,58K","1,47%"
"Mar 2005","428,70","433,40","433,40","425,50","31,84K","-1,79%"
"Feb 2005","436,50","422,20","436,00","410,10","9,07K","3,49%"
"Ene 2005","421,80","431,00","431,00","418,70","48,27K","-3,59%"
"Dic 2004","437,50","451,60","456,50","432,60","12,86K","-3,06%"
"Nov 2004","451,30","434,00","454,80","434,00","70,97K","5,32%"
"Oct 2004","428,50","419,10","430,00","410,30","2,31K","2,34%"
"Sep 2004","418,70","407,30","418,80","396,80","6,64K","2,02%"
"Ago 2004","410,40","394,00","412,80","388,80","6,21K","4,96%"
"Jul 2004","391,00","397,80","397,80","385,00","47,09K","-0,41%"
"Jun 2004","392,60","395,10","405,00","383,00","6,55K","-0,36%"
"May 2004","394,00","392,00","396,30","377,00","9,87K","1,81%"
"Abr 2004","387,00","427,20","432,00","380,00","6,61K","-9,43%"
"Mar 2004","427,30","397,50","428,00","391,10","41,43K","7,80%"
"Feb 2004","396,40","403,00","416,00","392,50","5,82K","-1,44%"
"Ene 2004","402,20","422,50","428,20","396,50","56,01K","-3,25%"
"Dic 2003","415,70","397,20","415,80","397,00","10,49K","4,76%"
"Nov 2003","396,80","382,80","402,00","382,80","12,77K","3,20%"
"Oct 2003","384,50","385,50","394,00","368,00","3,78K","-0,23%"
"Sep 2003","385,40","375,00","388,70","375,00","8,83K","2,58%"
"Ago 2003","375,70","354,10","375,00","346,00","5,88K","6,13%"
"Jul 2003","354,00","344,00","362,00","344,00","37,36K","2,31%"
"Jun 2003","346,00","362,40","370,00","343,40","10,49K","-5,08%"
"May 2003","364,50","339,00","370,00","339,00","37,94K","7,49%"
"Abr 2003","339,10","336,00","338,40","319,30","5,20K","0,95%"
"Mar 2003","335,90","342,70","343,00","328,40","30,92K","-4,08%"
"Feb 2003","350,20","368,00","388,90","342,00","7,92K","-4,91%"
"Ene 2003","368,30","345,20","372,00","345,20","7,48K","5,96%"
"Dic 2002","347,60","318,10","350,50","315,50","8,25K","9,72%"
"Nov 2002","316,80","321,50","321,50","316,50","15,46K","-0,38%"
"Oct 2002","318,00","322,00","322,90","309,80","3,93K","-1,82%"
"Sep 2002","323,90","312,50","324,20","312,50","4,39K","3,68%"
"Ago 2002","312,40","303,20","318,00","298,00","4,22K","3,03%"
"Jul 2002","303,20","315,00","320,50","300,80","27,56K","-3,29%"
"Jun 2002","313,50","326,60","330,30","316,00","6,89K","-3,98%"
"May 2002","326,50","307,50","329,00","306,80","28,82K","5,70%"
"Abr 2002","308,90","302,60","312,50","297,50","2,66K","2,08%"
"Mar 2002","302,60","298,00","304,50","298,00","4,24K","1,99%"
"Feb 2002","296,70","282,30","308,00","282,20","5,10K","5,18%"
"Ene 2002","282,10","279,00","283,20","276,70","27,50K","1,22%"
"Dic 2001","278,70","274,20","281,30","271,20","2,90K","1,75%"
"Nov 2001","273,90","280,50","280,50","272,60","27,21K","-2,00%"
"Oct 2001","279,50","291,80","292,90","274,00","0,96K","-4,41%"
"Sep 2001","292,40","289,50","294,00","289,00","2,73K","6,56%"
"Ago 2001","274,40","266,20","280,80","265,80","2,17K","3,08%"
"Jul 2001","266,20","263,70","267,50","263,70","19,97K","-1,63%"
"Jun 2001","270,60","264,70","277,00","264,50","1,96K","2,00%"
"May 2001","265,30","274,40","275,00","264,20","31,74K","0,49%"
"Abr 2001","264,00","257,20","265,00","255,00","4,32K","2,37%"
"Mar 2001","257,90","260,00","260,40","256,60","28,68K","-3,34%"
"Feb 2001","266,80","266,30","268,90","255,00","1,67K","0,45%"
"Ene 2001","265,60","262,90","266,60","262,90","17,24K","-2,35%"
"Dic 2000","272,00","269,70","276,00","268,00","2,48K","0,70%"
"Nov 2000","270,10","265,20","270,20","265,20","31,66K","1,96%"
"Oct 2000","264,90","272,80","275,00","264,50","0,34K","-3,18%"
"Sep 2000","273,60","277,50","277,50","272,00","4,27K","-1,69%"
"Ago 2000","278,30","276,00","279,00","271,00","3,15K","0,54%"
"Jul 2000","276,80","278,50","279,00","276,00","28,66K","-4,58%"
"Jun 2000","290,10","272,00","292,50","271,80","3,48K","6,77%"
"May 2000","271,70","272,70","274,40","271,30","27,36K","-0,51%"
"Abr 2000","273,10","278,40","289,50","274,00","1,57K","-1,90%"
"Mar 2000","278,40","275,00","279,80","274,50","15,49K","-4,79%"
"Feb 2000","292,40","282,30","322,00","282,20","2,67K","3,25%"
"Ene 2000","283,20","281,00","288,00","280,50","16,98K","-1,84%"
"Dic 1999","288,50","290,80","291,50","275,00","4,59K","-0,55%"
"Nov 1999","290,10","290,80","299,70","289,00","26,89K","-3,04%"
"Oct 1999","299,20","297,90","327,50","296,00","0,55K","0,44%"
"Sep 1999","297,90","255,50","320,00","254,10","1,30K","16,46%"
"Ago 1999","255,80","256,80","262,70","252,50","7,25K","-0,43%"
"Jul 1999","256,90","257,30","258,20","252,90","26,99K","-2,36%"
"Jun 1999","263,10","266,80","268,50","258,60","4,70K","-2,70%"
"May 1999","270,40","285,00","285,00","267,90","31,40K","-5,72%"
"Abr 1999","286,80","280,40","285,30","277,50","2,22K","2,50%"
"Mar 1999","279,80","285,00","293,00","278,20","7,34K","-2,68%"
"Feb 1999","287,50","286,80","292,50","285,50","5,04K","0,42%"
"Ene 1999","286,30","289,00","289,00","282,10","26,57K","-0,62%"
"Dic 1998","288,10","292,00","296,20","285,50","4,77K","-1,50%"
"Nov 1998","292,50","292,50","297,00","291,00","25,72K","-0,07%"
"Oct 1998","292,70","298,50","302,70","291,50","1,03K","-1,25%"
"Sep 1998","296,40","287,00","296,90","287,00","2,81K","7,51%"
"Ago 1998","275,70","286,30","290,00","275,60","6,66K","-3,70%"
"Jul 1998","286,30","294,20","294,20","286,00","23,44K","-3,60%"
"Jun 1998","297,00","292,20","300,10","284,60","4,39K","1,61%"
"May 1998","292,30","300,00","300,00","291,20","33,08K","-4,73%"
"Abr 1998","306,80","301,00","315,60","299,00","2,50K","2,10%"
"Mar 1998","300,50","295,50","303,50","292,80","13,44K","0,47%"
"Feb 1998","299,10","301,90","305,50","290,80","4,12K","-1,25%"
"Ene 1998","302,90","305,80","306,60","300,60","97,80K","4,74%"
"Dic 1997","289,20","296,10","297,70","281,50","18,44K","-2,59%"
"Nov 1997","296,90","312,50","312,50","295,10","44,85K","-4,63%"
"Oct 1997","311,30","336,00","338,00","310,10","0,73K","-6,88%"
"Sep 1997","334,30","324,90","335,00","324,90","3,53K","3,02%"
"Ago 1997","324,50","324,30","328,80","317,00","4,61K","0,12%"
"Jul 1997","324,10","331,80","331,80","320,00","79,04K","-3,02%"
"Jun 1997","334,20","344,60","345,00","336,50","3,48K","-3,07%"
"May 1997","344,80","342,40","347,60","340,20","24,03K","1,41%"
"Abr 1997","340,00","351,60","351,90","337,00","5,08K","-3,13%"
"Mar 1997","351,00","346,00","352,40","346,00","80,50K","-3,76%"
"Feb 1997","364,70","345,40","359,50","338,50","9,46K","5,74%"
"Ene 1997","344,90","353,70","353,70","344,20","16,67K","-6,35%"
"Dic 1996","368,30","371,20","373,50","366,00","8,03K","-1,26%"
"Nov 1996","373,00","379,00","379,00","372,50","0,14K","-1,35%"
"Oct 1996","378,10","377,30","384,00","377,00","0,32K","0,11%"
"Sep 1996","377,70","386,20","386,30","377,20","4,51K","-2,38%"
"Ago 1996","386,90","387,60","390,50","386,00","4,99K","-0,15%"
"Jul 1996","387,50","385,00","388,00","384,00","39,52K","1,95%"
"Jun 1996","380,10","390,80","391,00","382,30","8,76K","-2,76%"
"May 1996","390,90","391,30","392,00","389,50","34,89K","-0,26%"
"Abr 1996","391,90","395,30","398,00","389,70","5,30K","-0,99%"
"Mar 1996","395,80","392,50","400,80","392,50","38,56K","-1,03%"
"Feb 1996","399,90","406,80","417,50","396,50","3,35K","-1,41%"
"Ene 1996","405,60","387,40","407,30","387,40","38,54K","4,64%"
"Dic 1995","387,60","387,60","390,50","385,50","6,61K","0,10%"
"Nov 1995","387,20","386,30","389,00","381,80","16,39K","1,10%"
"Oct 1995","383,00","383,30","386,40","381,60","1,63K","-0,21%"
"Sep 1995","383,80","386,20","386,20","383,30","4,50K","0,24%"
"Ago 1995","382,90","382,00","387,00","381,30","6,82K","0,16%"
"Jul 1995","382,30","384,10","387,10","381,60","26,21K","-0,68%"
"Jun 1995","384,90","385,00","392,50","383,80","10,47K","-0,05%"
"May 1995","385,10","388,30","388,30","383,80","25,91K","-0,49%"
"Abr 1995","387,00","393,10","397,60","386,00","3,52K","-1,33%"
"Mar 1995","392,20","379,00","401,00","378,90","22,10K","4,06%"
"Feb 1995","376,90","376,40","381,00","374,50","8,16K","0,40%"
"Ene 1995","375,40","377,70","384,50","372,00","18,72K","-2,01%"
"Dic 1994","383,10","379,50","383,60","374,50","7,92K","0,63%"
"Nov 1994","380,70","384,30","386,70","379,70","32,31K","-0,73%"
"Oct 1994","383,50","392,60","395,20","385,50","0,77K","-2,71%"
"Sep 1994","394,20","389,50","395,90","389,50","3,61K","2,05%"
"Ago 1994","386,30","383,80","387,30","375,40","13,71K","0,86%"
"Jul 1994","383,00","386,70","387,70","381,50","26,64K","-0,73%"
"Jun 1994","385,80","387,40","395,70","377,70","8,57K","-0,34%"
"May 1994","387,10","376,60","388,20","376,60","29,49K","2,79%"
"Abr 1994","376,60","392,00","393,00","369,10","4,96K","-3,88%"
"Mar 1994","391,80","381,00","394,00","375,00","26,99K","2,73%"
"Feb 1994","381,40","381,30","390,50","375,70","4,82K","-0,05%"
"Ene 1994","381,60","391,00","391,00","375,30","32,87K","-2,35%"
"Dic 1993","390,80","369,50","392,50","368,30","7,52K","5,68%"
